disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,disasterPageUrl,shapefileUrl,kmzfileUrl,geoJsonUrl,id,hash,lastRefresh
5243,2018-06-22T00:00:00.000Z,GRAHAM FIRE,2018-06-21T00:00:00.000Z,2018-06-25T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2018-06-22T00:00:00.000Z,2025-03-13T00:00:00.000Z,2025-03-13T00:00:00.000Z,10,0,0,1,1,,2018-06-21T00:00:00.000Z,https://www.fema.gov/disaster/5243,,,,900e65d9-8a7f-4217-966a-e108987bb771,08382f229bcafca49c0ed61df2ef7319df8e0751,2025-03-13T14:21:43.977Z
5554,2025-03-07T00:00:00.000Z,COVINGTON DRIVE FIRE,2025-03-01T00:00:00.000Z,,Fire Management,SC,South Carolina                ,Fire,2025-03-10T00:00:00.000Z,2025-03-10T00:00:00.000Z,,4,0,0,1,1,R,2025-03-07T00:00:00.000Z,https://www.fema.gov/disaster/5554,,,,1563fa43-ddd2-4582-be3e-94f79f6d6ff3,b1fc5f2ab0c8b8196b5f4b14b5227e4a1e6108bc,2025-03-11T19:21:45.366Z
4859,2025-01-15T00:00:00.000Z,SEVERE STORM AND FLOODING,2024-10-20T00:00:00.000Z,2024-10-23T00:00:00.000Z,Major Disaster,AK,Alaska                        ,Severe Storm,2025-01-16T00:00:00.000Z,2025-01-16T00:00:00.000Z,,10,0,0,1,1,"5,W",2024-12-16T00:00:00.000Z,https://www.fema.gov/disaster/4859,https://gis.fema.gov/maps/dec_4859.zip,https://gis.fema.gov/maps/dec_4859.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4859%27,4f60e479-1ef9-468c-a840-0d3b009f519a,ee03fbcec2238993a17bd6a7cef283b0b85c0ec7,2025-03-11T19:21:45.366Z
4856,2025-01-08T00:00:00.000Z,WILDFIRES AND STRAIGHT-LINE WINDS,2025-01-07T00:00:00.000Z,2025-01-31T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2025-01-09T00:00:00.000Z,2025-02-18T00:00:00.000Z,,9,1,0,1,1,"2,R",2025-01-08T00:00:00.000Z,https://www.fema.gov/disaster/4856,https://gis.fema.gov/maps/dec_4856.zip,https://gis.fema.gov/maps/dec_4856.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4856%27,ee718fce-7188-4043-bde7-978e2fbb0ba9,2f558f231382992df3e58041355399476edf8468,2025-03-11T19:21:45.366Z
5551,2025-01-08T00:00:00.000Z,HURST FIRE,2025-01-07T00:00:00.000Z,,Fire Management,CA,California                    ,Fire,2025-01-08T00:00:00.000Z,2025-01-08T00:00:00.000Z,,9,0,0,1,1,R,2025-01-08T00:00:00.000Z,https://www.fema.gov/disaster/5551,,,,57d63321-ba14-4c4d-80cb-b9e71448ee5f,d424d770d9044d5f640c36ae66620c932c1d06bf,2025-03-11T19:21:45.366Z
5550,2025-01-08T00:00:00.000Z,EATON FIRE,2025-01-07T00:00:00.000Z,,Fire Management,CA,California                    ,Fire,2025-01-08T00:00:00.000Z,2025-01-08T00:00:00.000Z,,9,0,0,1,1,R,2025-01-07T00:00:00.000Z,https://www.fema.gov/disaster/5550,,,,d5fffe32-0ced-4a64-86e5-3a7ccdf0652a,ec1992fb183430897ff60a8dc6d9d027df779a9e,2025-03-11T19:21:45.366Z
5549,2025-01-07T00:00:00.000Z,PALISADES FIRE,2025-01-07T00:00:00.000Z,,Fire Management,CA,California                    ,Fire,2025-01-08T00:00:00.000Z,2025-01-08T00:00:00.000Z,,9,0,0,1,1,R,2025-01-07T00:00:00.000Z,https://www.fema.gov/disaster/5549,,,,d09734f8-4062-4668-93e7-cc492a4dda86,386d30f79a6034b85940c5e12c4b3d9e0b958bbb,2025-03-11T19:21:45.366Z
4854,2025-01-01T00:00:00.000Z,WILDFIRES,2024-07-10T00:00:00.000Z,2024-08-23T00:00:00.000Z,Major Disaster,OR,Oregon                        ,Fire,2025-01-02T00:00:00.000Z,2025-01-02T00:00:00.000Z,,10,0,0,1,1,"R,W",2024-10-21T00:00:00.000Z,https://www.fema.gov/disaster/4854,https://gis.fema.gov/maps/dec_4854.zip,https://gis.fema.gov/maps/dec_4854.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4854%27,6cc639d3-a057-4649-a801-69468bdd9cec,e7c2c24d3c1db0595b9288f394b028ceb0009763,2025-03-11T19:21:45.366Z
53,1956-04-05T00:00:00.000Z,TORNADO,1956-04-05T00:00:00.000Z,1956-04-05T00:00:00.000Z,Major Disaster,MI,Michigan                      ,Tornado,1993-07-21T00:00:00.000Z,2001-09-09T00:00:00.000Z,1956-04-30T00:00:00.000Z,5,0,1,1,1,,1956-04-05T00:00:00.000Z,https://www.fema.gov/disaster/53,,,,e0e5052a-642d-4986-a09f-170605d25462,65eb01dd2e334d1c8ff505bebeed9b1f53131c74,2025-03-11T19:21:45.366Z
52,1956-03-29T00:00:00.000Z,FLOOD,1956-03-29T00:00:00.000Z,1956-03-29T00:00:00.000Z,Major Disaster,NY,New York                      ,Flood,1993-07-21T00:00:00.000Z,2001-09-09T00:00:00.000Z,1957-03-01T00:00:00.000Z,2,0,1,1,1,,1956-03-29T00:00:00.000Z,https://www.fema.gov/disaster/52,,,,e8fe700c-0e5d-45f3-95ea-0cf89bfae43c,230c061aa0bfc20c1f0218019afbce2772157b22,2025-03-11T19:21:45.366Z
