disasterNumber,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id
1439,TX,Aransas (County),ARANSAS PASS,78335,4,0,0,0,3,3,5915.91,3,3,4543.02,3,2,1372.89,335640cf-41a8-4128-8c6a-6e1480057691
1439,TX,Aransas (County),ARANSAS PASS,78336,77,0,0,0,69,58,190858.11,69,54,157115.36,40,24,33742.75,0f9648b0-b10f-4b2f-be82-cc1269a7c159
1439,TX,Aransas (County),BAYSIDE,78340,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,83316c95-be54-4763-9f2d-8e6178499489
1439,TX,Aransas (County),FULTON,78358,28,0,0,0,24,22,101177.43,23,20,67960.7,17,15,33216.73,4aec1de7-bf2b-4444-8135-dec3a33b8f56
1439,TX,Aransas (County),FULTON,78381,1,0,0,0,1,1,3304.3,1,1,2133.96,1,1,1170.34,9fbe5a11-d67b-4772-a768-cf6421ba5c32
1439,TX,Aransas (County),ROCKPORT,77823,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,ae59be87-f98c-460e-a076-437d3c9263bd
1439,TX,Aransas (County),ROCKPORT,78331,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,b6588f2d-392f-4d16-8d4d-81b4b7852925
1439,TX,Aransas (County),ROCKPORT,78381,20,0,0,0,19,16,58308.77,19,15,44785.17,9,7,13523.6,2adddb7a-abdd-44fc-9777-0191a9a7ff2b
1439,TX,Aransas (County),ROCKPORT,78382,398,0,0,0,363,306,1175436.42,354,293,879762.29,225,142,295674.13,7ef34ba1-69f3-45c0-be7b-08652d65f92f
1439,TX,Aransas (County),ROCK PORT,78358,1,0,0,0,1,1,5726.0,1,1,5726.0,0,0,0.0,4196ad21-2367-4e64-86de-92e65e7fa35c
1439,TX,Aransas (County),TAFT,78390,1,0,0,0,1,1,3855.33,1,1,3855.33,0,0,0.0,4517ea18-96f3-42e3-8357-9ffc6fedf42d
1439,TX,Brazoria (County),ALVIN,77511,7,0,0,0,7,7,25149.85,7,6,15530.67,7,4,9619.18,3e26f13b-5aef-49fa-94d3-c566ff6d20b1
