disasterNumber,state,county,city,zipCode,validRegistrations,averageFemaInspectedDamage,totalInspected,totalDamage,noFemaInspectedDamage,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,id
1439,TX,Aransas (County),ARANSAS PASS,78335,4,1345.01,3,5380.02,0,3,0,0,0,3,5915.91,3573.02,970.0,1372.89,3,0,0,0,0127c0d8-0e5c-415b-b394-d4e8ba128da9
1439,TX,Aransas (County),ARANSAS PASS,78336,68,3082.82,63,209632.06,4,56,3,0,0,54,180717.57,131097.36,23946.0,25674.21,27,26,1,0,d286ad8a-31ae-4931-a537-9d703faba5ee
1439,TX,Aransas (County),FULTON,78358,20,4722.34,18,94446.72,0,17,1,0,0,17,94240.88,58754.7,6784.0,28702.18,3,11,3,0,bbe3e49d-c494-4db5-9cf5-7a81e71430db
1439,TX,Aransas (County),FULTON,78381,1,2578.3,1,2578.3,0,1,0,0,0,1,3304.3,1407.96,726.0,1170.34,1,0,0,0,1317c815-68a9-4e68-a580-0e9de721ff9d
1439,TX,Aransas (County),ROCKPORT,78331,1,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,7e635c4a-e0c5-494e-8ea3-9af90b285216
1439,TX,Aransas (County),ROCKPORT,78381,16,4138.11,15,66209.78,0,15,0,0,0,13,54528.53,37005.17,5088.0,12435.36,6,6,1,0,67110230-e85e-454f-855a-b88577ac8880
1439,TX,Aransas (County),ROCKPORT,78382,307,3653.9,278,1121747.18,10,252,15,0,1,259,1069191.44,711228.83,135290.0,222672.61,118,115,26,0,4999edf8-9fec-4e64-8701-6ed1c80b53ab
1439,TX,Aransas (County),ROCK PORT,78358,1,1540.35,1,1540.35,0,1,0,0,0,1,5726.0,5000.0,726.0,0.0,0,1,0,0,82b7a0d7-927b-47db-9ec8-47eedcf92f52
1439,TX,Aransas (County),TAFT,78390,1,3581.76,1,3581.76,0,1,0,0,0,1,3855.33,2885.33,970.0,0.0,0,1,0,0,b52ec3de-def6-4075-87f6-4bb8840626c9
1439,TX,Brazoria (County),ALVIN,77511,5,4443.0,5,22214.98,1,3,1,0,0,5,15866.2,11486.67,2600.0,1779.53,2,3,0,0,012ab9a9-1643-4110-a6c7-8495424a024f
1439,TX,Brazoria (County),ANGLETON,77515,4,6463.04,3,25852.14,0,2,1,0,0,3,13788.24,10687.8,0.0,3100.44,1,2,0,0,e66f836a-1794-47c6-a8c6-1a2a5b6c7535
1439,TX,Brazoria (County),ANGLETON,77516,1,6640.07,1,6640.07,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,c57b1f15-8801-43c8-90a8-3cec16e18577
1439,TX,Brazoria (County),BRAZORIA,77422,11,4276.01,8,47036.11,0,5,3,0,0,6,22428.76,17816.76,4612.0,0.0,4,2,0,0,c7342da0-114f-429a-9b60-c1a66aa2905c
1439,TX,Brazoria (County),CLUTE,77531,8,2433.88,8,19471.07,2,5,1,0,0,4,6209.81,6209.81,0.0,0.0,4,0,0,0,b5f1db4c-8a74-4e37-ab75-d7c5ce4b1aee
1439,TX,Brazoria (County),FREEPORT,77541,23,3398.07,21,78155.55,1,19,1,0,0,20,80404.58,49951.8,14392.0,16060.78,8,11,1,0,b0e41cbf-3563-4b46-8f2f-ab4c61a8db8a
1439,TX,Brazoria (County),JONES CREEK,77541,2,8316.89,2,16633.78,0,1,1,0,0,2,7679.1,6235.1,1444.0,0.0,1,1,0,0,f0e1cb57-93de-4090-8b43-8d4f0ff10a6a
1439,TX,Brazoria (County),LAKE JACKSON,77566,4,2687.37,3,10749.48,0,3,0,0,0,3,16129.58,9614.84,4732.0,1782.74,1,2,0,0,017f4fd5-081b-45e6-94fe-4093b9b43e13
1439,TX,Brazoria (County),OLD OCEAN,77463,1,6809.37,1,6809.37,0,1,0,0,0,1,7965.37,4362.54,1156.0,2446.83,0,1,0,0,40f404a6-ad95-4a78-9183-f5d363fe9273
1439,TX,Brazoria (County),PEARLAND,77581,1,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,10278fcc-1f25-48a9-aad5-1c68eb6a4a36
1439,TX,Brazoria (County),PEARLAND,77584,5,9194.51,5,45972.55,0,3,2,0,0,5,25600.04,19646.47,3456.0,2497.57,1,3,1,0,840a73a6-9670-447e-b774-79426d044027
1439,TX,Brazoria (County),ROSHARON,77583,4,4749.94,4,18999.75,0,3,1,0,0,4,16494.9,8884.11,1444.0,6166.79,3,0,1,0,0308e2b7-ad15-48f2-8643-25332c605dff
1439,TX,Brazoria (County),SILSBEE,77656,1,1149.03,1,1149.03,0,1,0,0,0,1,2305.03,756.53,1156.0,392.5,1,0,0,0,ed2efd1e-05be-4342-8705-6b76b318a977
1439,TX,Brazoria (County),SWEENY,77480,2,5758.86,2,11517.72,0,2,0,0,0,2,9587.5,9587.5,0.0,0.0,0,2,0,0,5f3d94fa-035d-40b6-ac40-581c01addbaf
1439,TX,Brazoria (County),WEST COLUMBIA,77486,4,2124.43,4,8497.73,0,4,0,0,0,3,6830.3,6830.3,0.0,0.0,2,1,0,0,6c1c4a49-8155-4349-9506-9b33a88eecd0
1439,TX,Cameron (County),BLUETOWN,78592,1,935.6,1,935.6,0,1,0,0,0,1,935.6,635.5,0.0,300.1,1,0,0,0,483932b9-d4d0-4249-ad62-7eb8a5ff0a2b
1439,TX,Cameron (County),BROWNSVILLE,78520,16,1414.78,14,22636.49,0,14,0,0,0,12,25625.09,17361.02,4574.0,3690.07,9,3,0,0,2a134696-2629-4154-b804-3904db56b2cc
1439,TX,Cameron (County),BROWNSVILLE,78521,37,2194.29,31,81188.68,1,29,1,0,0,29,88859.22,52820.88,8526.0,27512.34,22,6,1,0,d3e7a054-d7f5-4b46-a00e-9fbc0f9f260d
1439,TX,Cameron (County),BROWNSVILLE,78526,3,2254.29,3,6762.88,0,3,0,0,0,3,5985.18,4580.38,0.0,1404.8,2,1,0,0,13a09bf0-c13e-4c80-8071-18c32619da9e
1439,TX,Cameron (County),COMBES,78535,5,2277.95,5,11389.75,0,5,0,0,0,5,10193.95,7064.64,0.0,3129.31,4,1,0,0,28f02a38-fd5f-4bc5-b94b-7b19ee500325
1439,TX,Cameron (County),HARLINGEN,78550,37,1934.89,30,71591.03,2,27,1,0,0,27,64924.09,38704.33,6886.0,19333.76,18,8,1,0,20a82d3b-ab52-4b9e-8d99-0a9145537799
1439,TX,Cameron (County),HARLINGEN,78552,29,3030.82,25,87893.73,0,23,2,0,0,25,84829.9,49854.55,6567.0,28408.35,15,9,1,0,39232f93-02b4-476a-9a0e-5649caf1d146
1439,TX,Cameron (County),LA FERIA,78559,40,2099.81,39,83992.45,0,39,0,0,0,37,79284.37,59424.72,5430.0,14429.65,30,7,0,0,72587ff1-e739-4632-b0a1-a281faae07e8
1439,TX,Cameron (County),LAGUNA HEIGHTS,78578,3,7778.71,3,23336.12,0,2,1,0,0,3,24459.98,11985.1,1804.0,10670.88,0,2,1,0,0cd3c4f4-bbe5-4c55-961b-b15ffceaf6eb
1439,TX,Cameron (County),LAGUNA VISTA,78578,4,5406.13,4,21624.51,0,4,0,0,0,4,14273.61,9105.8,2860.0,2307.81,2,2,0,0,5f29ee35-c875-4abc-928e-852de83f11d3
1439,TX,Cameron (County),LOS FRESNOS,78566,36,2890.14,34,104044.92,1,33,0,0,0,31,108546.0,56595.91,13565.0,38385.09,20,9,2,0,2a32166f-54db-485d-82cf-d97934a2eeff
1439,TX,Cameron (County),LOS INDIOS,78567,1,5650.3,1,5650.3,0,1,0,0,0,1,7202.29,3633.52,1002.0,2566.77,0,1,0,0,18b6b866-9231-4c44-a3d3-44bc148ed00b
1439,TX,Cameron (County),LOZANO,78568,2,1208.43,2,2416.85,0,2,0,0,0,2,3919.85,2416.85,1503.0,0.0,2,0,0,0,b7fa3585-2103-42c3-b335-ebfb68662caf
1439,TX,Cameron (County),OLMITO,78575,1,2231.35,1,2231.35,0,1,0,0,0,1,3487.35,2054.54,1256.0,176.81,0,1,0,0,88c7ecba-1531-40af-9d80-2c09a6e319a3
1439,TX,Cameron (County),PORT ISABEL,78578,13,4416.45,13,57413.84,2,9,2,0,0,10,44979.92,27178.72,8090.0,9711.2,4,4,2,0,df93f80a-2baa-4678-8518-5bbdf2646175
1439,TX,Cameron (County),PROGRESO,78579,1,1702.91,1,1702.91,0,1,0,0,0,1,1702.91,1526.1,0.0,176.81,1,0,0,0,7f433a5e-d495-42dc-bfd0-e9962e9a3708
1439,TX,Cameron (County),RIO HONDO,78583,16,2716.68,16,43466.81,1,15,0,0,0,15,43796.2,25828.43,4172.0,13795.77,12,2,1,0,29f90d36-ab4d-488e-8968-415c4e5da539
1439,TX,Cameron (County),SAN BENITO,78586,133,3021.18,123,401817.23,4,116,3,0,0,117,368189.99,233032.94,46241.0,88916.05,71,43,3,0,1cedb24a-d79d-4bbc-9617-e88d56dcdbba
1439,TX,Cameron (County),SAN PEDRO,78520,1,1666.41,1,1666.41,0,1,0,0,0,1,1666.41,1666.41,0.0,0.0,1,0,0,0,5008d733-5ee2-43cf-9662-b459502bb2a8
1439,TX,Cameron (County),SANTA MARIA,78592,62,2316.58,58,143627.97,1,56,1,0,0,56,130148.24,88839.02,4410.0,36899.22,43,13,0,0,a6f677e2-eb69-48b8-ae67-e741cb9d601f
1439,TX,Cameron (County),SANTA ROSA,78593,17,2512.07,16,42705.23,0,16,0,0,0,16,37275.26,25277.29,3060.0,8937.97,13,3,0,0,9fee757a-1ae5-4492-8763-55c046b91610
1439,TX,Fort Bend (County),BROOKSHIRE,77423,1,14551.04,1,14551.04,0,0,1,0,0,1,2454.0,0.0,2454.0,0.0,1,0,0,0,68012fda-5dd2-4603-a8ba-0baf66115852
1439,TX,Fort Bend (County),FRESNO,77545,1,19069.4,1,19069.4,0,0,1,0,0,1,16211.21,5000.0,2822.0,8389.21,0,0,1,0,25b35c72-ebe1-44d7-a697-304d2e9756c6
1439,TX,Fort Bend (County),FULSHEAR,77441,19,1317.82,19,25038.64,1,18,0,0,0,17,50076.13,15742.89,4144.0,30189.24,11,6,0,0,a2d76461-8734-4fac-b0c8-c7a1b14b3ddc
1439,TX,Fort Bend (County),MISSOURI CITY,77489,2,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,c0b41629-8120-4d11-94f6-fe07a37e96c1
1439,TX,Fort Bend (County),NEEDVILLE,77461,2,4201.55,2,8403.1,0,2,0,0,0,2,5235.6,5235.6,0.0,0.0,1,1,0,0,db8ce481-0e24-4fda-b493-e0e36946f0da
1439,TX,Fort Bend (County),SIMONTON,77476,8,389.99,6,3119.95,1,5,0,0,0,5,7432.29,1352.18,0.0,6080.11,4,1,0,0,20b964a6-3955-452d-b518-08a125b9afc2
1439,TX,Fort Bend (County),STAFFORD,77477,3,3434.15,2,10302.45,0,2,0,0,0,2,9907.54,5704.24,2454.0,1749.3,1,0,1,0,fcf0901a-6647-4651-8392-d06820c80e4a
1439,TX,Fort Bend (County),WALLIS,77485,3,19962.2,3,59886.61,1,1,0,0,1,2,24553.66,11540.45,2312.0,10701.21,1,0,1,0,0cf6f6c4-e993-4ce0-82cd-b302e3f86650
1439,TX,Hardin (County),BATSON,77519,2,3260.21,2,6520.41,0,2,0,0,0,2,9723.72,6487.27,1020.0,2216.45,1,1,0,0,1430dbc5-2ffb-4a12-810f-a515a43a62d8
1439,TX,Hardin (County),KOUNTZE,77625,30,1930.86,27,57925.67,4,22,1,0,0,23,69614.8,29066.24,10792.0,29756.56,15,6,2,0,fd204614-9f6c-460e-8ce6-490525681f96
1439,TX,Hardin (County),LUMBERTON,77657,27,2682.61,19,72430.38,0,18,1,0,0,13,53053.23,34307.97,9861.0,8884.26,6,7,0,0,836de2b5-722a-401c-b0af-ea376ae744e9
1439,TX,Hardin (County),SARATOGA,77585,1,2454.48,1,2454.48,0,1,0,0,0,1,3292.48,2097.86,838.0,356.62,1,0,0,0,45042e80-84bd-4e5d-93a0-69d63e106cb3
1439,TX,Hardin (County),SILSBEE,77656,112,1447.49,99,162118.51,11,87,1,0,0,80,156621.58,89906.71,33593.0,33121.87,65,13,2,0,3aa790cf-c392-4fc6-946a-83d928cbcb07
1439,TX,Hardin (County),SOUR LAKE,77659,3,432.21,3,1296.63,1,2,0,0,0,3,2954.7,466.08,1676.0,812.62,3,0,0,0,004d53c3-4c04-44dd-90a0-afa936dabbe5
1439,TX,Hardin (County),VILLAGE MILLS,77663,1,396.0,1,396.0,0,1,0,0,0,1,396.0,396.0,0.0,0.0,1,0,0,0,15343b4a-67da-4943-b7dc-c36b0f5ea787
1439,TX,Hardin (County),VOTAW,77376,3,2592.72,3,7778.16,0,3,0,0,0,3,8064.22,4476.22,2188.0,1400.0,2,1,0,0,3963de2b-8512-4bce-9bc8-df87a8310917
1439,TX,Harris (County),BAYTOWN,77520,4,4570.17,4,18280.69,0,4,0,0,0,3,19417.21,11132.46,1494.0,6790.75,1,1,1,0,2fd3a837-6aa7-4288-a181-ed2e30cd5c59
1439,TX,Harris (County),CHANNELVIEW,77530,9,2974.34,7,26769.04,2,3,2,0,0,4,26542.16,15270.24,5072.0,6199.92,1,1,2,0,9923451e-59b8-4c74-95bf-3b7ae2235420
1439,TX,Harris (County),CROSBY,77532,7,5235.56,6,36648.89,1,3,2,0,0,4,17074.16,11070.47,3228.0,1809.69,1,3,0,0,d3c19611-a205-4755-a02c-5de23529ce4f
1439,TX,Harris (County),CYPRESS,77433,1,4287.56,1,4287.56,0,1,0,0,0,1,1702.25,1591.52,0.0,110.73,1,0,0,0,e19535dc-99eb-4ca3-98ca-50613d33365a
1439,TX,Harris (County),DEER PARK,77536,1,1727.41,1,1727.41,0,1,0,0,0,1,1727.41,527.19,0.0,1200.22,1,0,0,0,ac6dbd55-9ef9-4869-aa47-7a89e3feccd9
1439,TX,Harris (County),FRIENDSWOOD,77546,1,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,8d91036a-159b-4192-bfef-d404035af5f6
1439,TX,Harris (County),GALENA PARK,77547,1,6792.08,1,6792.08,0,1,0,0,0,1,9231.37,2907.11,2084.0,4240.26,0,0,1,0,6551b9ef-1759-44c0-ab72-fd8c319dcf20
1439,TX,Harris (County),HIGHLANDS,77562,1,11385.14,1,11385.14,0,0,1,0,0,1,17419.39,4218.71,1156.0,12044.68,0,0,1,0,d1e69996-312e-451f-bd9f-c1b81227857d
1439,TX,Harris (County),HOCKLEY,77447,1,17713.35,1,17713.35,0,0,1,0,0,1,13754.7,5000.0,1156.0,7598.7,0,0,1,0,bad5bedb-1be6-4690-8990-edd73ea066e9
1439,TX,Harris (County),HOUSTON,77003,1,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,88745e5b-e541-433c-b39d-ada01dd2507e
1439,TX,Harris (County),HOUSTON,77004,2,1213.43,2,2426.85,0,2,0,0,0,1,545.3,545.3,0.0,0.0,1,0,0,0,885242de-c79f-46e2-b4eb-2e4b23a73f14
1439,TX,Harris (County),HOUSTON,77005,1,5127.72,1,5127.72,0,1,0,0,0,1,6406.47,2361.05,1494.0,2551.42,0,1,0,0,51456d0c-e0d2-48e3-854a-41a57cc411e7
1439,TX,Harris (County),HOUSTON,77006,1,16846.3,1,16846.3,0,0,1,0,0,1,2845.47,761.47,2084.0,0.0,1,0,0,0,cc6e3da5-7c73-4b76-8391-02bae0d8a87d
1439,TX,Harris (County),HOUSTON,77007,3,3535.56,3,10606.67,0,3,0,0,0,3,13846.67,2815.16,3240.0,7791.51,1,1,1,0,4c59f98a-6301-4699-b5f4-6ff79e08a661
1439,TX,Harris (County),HOUSTON,77009,2,9918.08,2,19836.15,0,1,1,0,0,2,21920.14,8447.12,2084.0,11389.02,0,1,1,0,966c01e8-daef-4286-a5d8-04c3fa66a5d8
1439,TX,Harris (County),HOUSTON,77011,1,8125.07,1,8125.07,0,1,0,0,0,1,6050.61,1884.7,1156.0,3009.91,0,1,0,0,fba6dc4a-8a30-4faa-8df4-22797a2b9198
1439,TX,Harris (County),HOUSTON,77012,1,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,e0cf8bac-9d12-4ab7-9797-56c9f8403179
1439,TX,Harris (County),HOUSTON,77013,3,2368.28,3,7104.85,0,3,0,0,0,3,5839.67,2827.67,2084.0,928.0,2,1,0,0,f4f85e4b-3343-48f4-8c87-ceee70e67c13
1439,TX,Harris (County),HOUSTON,77014,2,2379.3,2,4758.6,0,2,0,0,0,2,8534.1,4366.1,4168.0,0.0,1,1,0,0,3d994551-c0c9-457d-9ee6-67689601671e
1439,TX,Harris (County),HOUSTON,77015,11,8160.12,11,89761.31,1,5,5,0,0,11,95678.04,30772.02,7408.0,57498.02,2,4,5,0,8e39cc73-2e0d-4d2c-ba1f-c74e7c0204a1
1439,TX,Harris (County),HOUSTON,77016,20,1352.31,13,27046.17,2,11,0,0,0,11,37090.59,18735.41,10648.0,7707.18,5,6,0,0,2138c5e2-46cc-416a-a274-33ee1bdc67bb
1439,TX,Harris (County),HOUSTON,77017,6,5767.96,4,34607.75,0,3,0,1,0,4,15277.46,13193.46,2084.0,0.0,2,2,0,0,0169c6a0-7958-4731-a985-b3d3c350dafa
1439,TX,Harris (County),HOUSTON,77018,7,9145.87,5,64021.09,0,1,4,0,0,5,45928.29,20000.0,5442.0,18947.72,1,2,2,0,295bd646-c536-49ac-ac5b-694d6f43a8a9
1439,TX,Harris (County),HOUSTON,77019,1,303.74,1,303.74,0,1,0,0,0,1,1797.74,303.74,1494.0,0.0,1,0,0,0,aef7e61c-83ac-4165-9f7a-8d989e4c6711
1439,TX,Harris (County),HOUSTON,77020,8,2186.07,8,17488.52,0,8,0,0,0,7,22407.16,9074.77,7156.0,6176.39,4,2,1,0,a2bca1fa-8f7b-465a-a496-6113a7df2187
1439,TX,Harris (County),HOUSTON,77021,6,1114.06,5,6684.36,1,4,0,0,0,4,8178.36,3643.86,1494.0,3040.5,3,1,0,0,b8213684-c997-4b0f-a74f-a4a37f1b64be
1439,TX,Harris (County),HOUSTON,77022,5,1414.47,4,7072.37,1,3,0,0,0,3,8945.23,2467.74,1156.0,5321.49,2,1,0,0,865e60ba-7572-4c90-82ed-28d45dd6d36c
1439,TX,Harris (County),HOUSTON,77023,5,3213.55,5,16067.74,2,3,0,0,0,2,9294.08,1775.36,1494.0,6024.72,1,1,0,0,163e9115-2746-4c64-bf79-c695141b3b6f
1439,TX,Harris (County),HOUSTON,77026,16,4786.38,16,76582.1,2,11,3,0,0,14,80924.15,27412.36,18331.0,35180.79,6,4,4,0,ef9b816c-6425-44bb-ab9a-800d482bf69f
1439,TX,Harris (County),HOUSTON,77028,14,5931.61,11,83042.48,0,8,2,1,0,10,85745.81,31533.36,11780.0,42432.45,1,5,4,0,b46e1545-901c-423c-98d6-dcb24a73f36e
1439,TX,Harris (County),HOUSTON,77029,7,1974.1,6,13818.72,1,5,0,0,0,4,19532.31,9330.78,5072.0,5129.53,1,2,1,0,b82edbf7-40ff-4b1f-a6ed-6e8f0bf6285f
1439,TX,Harris (County),HOUSTON,77032,118,7987.68,115,942546.16,4,77,22,11,1,87,503376.74,231954.08,88204.0,183218.66,27,42,18,0,007b02b9-9fd9-42b2-a6c9-dd05c2f6201f
1439,TX,Harris (County),HOUSTON,77033,10,1652.73,9,16527.33,1,8,0,0,0,9,20498.64,7356.33,4144.0,8998.31,7,2,0,0,3027be19-5dec-4c96-8eb7-a124c7f855a7
1439,TX,Harris (County),HOUSTON,77034,2,1359.52,2,2719.03,0,2,0,0,0,1,6484.52,1309.44,2084.0,3091.08,0,1,0,0,5b37a833-560a-4404-aa89-a3827db47d15
1439,TX,Harris (County),HOUSTON,77036,2,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,75fcf446-d44f-4d66-9ce0-28d7be46078b
1439,TX,Harris (County),HOUSTON,77037,79,7828.27,76,618433.07,6,43,20,7,0,67,393638.02,116771.99,93438.0,182079.23,30,20,17,1,919a2769-eeb5-4b39-b012-a9391660f8e1
1439,TX,Harris (County),HOUSTON,77038,76,9577.9,70,727920.68,5,34,23,7,1,65,442614.17,185576.69,68900.0,188137.48,22,26,17,0,b91dd54b-0ec6-4667-aa70-12693e502391
1439,TX,Harris (County),HOUSTON,77039,40,6332.23,37,253289.23,7,17,12,1,0,30,183280.04,41723.8,39036.0,102520.24,14,8,8,0,e4f1e530-01e0-4fc3-a1e7-c7703bc8e815
1439,TX,Harris (County),HOUSTON,77040,136,9220.94,132,1254047.82,3,68,57,4,0,112,311716.35,75640.96,186343.63,47102.41,89,19,4,0,40798e15-438f-4d2f-9cf8-0f64c1153a10
1439,TX,Harris (County),HOUSTON,77041,13,5022.67,12,65294.73,0,10,2,0,0,10,67542.14,37034.22,8949.0,21558.92,2,4,4,0,bc875c2f-b593-437f-a52c-c37164d646d7
1439,TX,Harris (County),HOUSTON,77042,1,0.0,1,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,166bc3a6-fe48-4a3f-982d-8eb20ce23b52
1439,TX,Harris (County),HOUSTON,77043,4,9440.92,4,37763.66,0,2,2,0,0,4,20524.73,11730.51,5694.0,3100.22,1,3,0,0,0fdf2e55-9334-4196-b9bf-e9aba90c06fb
1439,TX,Harris (County),HOUSTON,77044,16,9596.3,16,153540.82,3,7,2,3,1,13,79623.66,32407.27,7046.0,40170.39,5,5,3,0,b9710929-a709-48cf-84cb-8cdd22334aa9
1439,TX,Harris (County),HOUSTON,77045,1,2428.45,1,2428.45,0,1,0,0,0,1,2008.45,2008.45,0.0,0.0,1,0,0,0,fdd87081-c591-4ec6-a03c-950d939e9956
1439,TX,Harris (County),HOUSTON,77047,6,1205.23,6,7231.36,2,4,0,0,0,4,12695.24,7033.24,5662.0,0.0,2,2,0,0,d356d177-a8ee-4937-af5e-fb705cb30353
1439,TX,Harris (County),HOUSTON,77048,6,4517.36,5,27104.18,2,2,1,0,0,2,9063.92,4488.95,2084.0,2490.97,1,1,0,0,0550b680-9df4-4ba4-b32d-523fd76f32b3
1439,TX,Harris (County),HOUSTON,77049,4,4225.58,3,16902.31,0,2,1,0,0,3,15710.71,7456.58,2084.0,6170.13,1,1,1,0,8060b05b-1acb-4eed-abcc-884151d4c93b
1439,TX,Harris (County),HOUSTON,77050,5,5796.72,5,28983.6,0,4,1,0,0,5,19925.28,9560.57,7188.0,3176.71,2,3,0,0,febfe924-0ab7-4a4d-abcf-c7ed4a2014db
1439,TX,Harris (County),HOUSTON,77051,5,1204.03,4,6020.13,1,3,0,0,0,3,8332.13,5173.3,2312.0,846.83,2,1,0,0,27111965-1b25-459e-985a-101be0a3e6d1
1439,TX,Harris (County),HOUSTON,77053,2,2816.59,2,5633.17,0,2,0,0,0,2,8455.16,1115.55,2822.0,4517.61,1,1,0,0,f712c0f9-3364-43bd-9516-1110e6ed16a9
1439,TX,Harris (County),HOUSTON,77054,1,361.2,1,361.2,0,1,0,0,0,1,361.2,361.2,0.0,0.0,1,0,0,0,356d07f2-ccdd-4b02-93e6-304f2d0738b0
1439,TX,Harris (County),HOUSTON,77055,6,1659.72,5,9958.32,1,4,0,0,0,4,11178.88,8697.64,1494.0,987.24,3,1,0,0,f787e94b-d3b0-492f-9b60-22ea41093426
1439,TX,Harris (County),HOUSTON,77060,51,7247.99,47,369647.68,8,22,13,3,1,40,213964.49,54247.77,66784.69,90781.98,22,8,10,0,70ef3a04-0b48-44c2-97fc-af296d590b05
1439,TX,Harris (County),HOUSTON,77063,1,166.87,1,166.87,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,536de267-337c-4984-bb05-ebdfd42c3b82
1439,TX,Harris (County),HOUSTON,77064,6,1975.04,4,11850.21,1,3,0,0,0,3,9878.9,6300.9,3578.0,0.0,1,2,0,0,6203c53a-a21d-4c95-ad6a-5f77dba7150e
1439,TX,Harris (County),HOUSTON,77065,1,0.0,1,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0189113f-d86a-4b8c-a0f0-6ab998b1a4cd
1439,TX,Harris (County),HOUSTON,77066,13,3402.88,13,44237.5,4,7,2,0,0,10,42014.86,9029.85,6252.0,26733.01,6,3,1,0,394fd9c1-665f-4ac4-bcda-1bbac49915e8
1439,TX,Harris (County),HOUSTON,77067,38,5027.69,33,191052.34,3,24,6,0,0,29,134374.35,58993.49,15134.0,60246.86,12,12,5,0,3077b510-76b2-406d-94ec-052c8e2ff05b
1439,TX,Harris (County),HOUSTON,77068,2,0.0,1,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,bc83ec2f-b9a1-40b8-8c64-4553a66af5ac
1439,TX,Harris (County),HOUSTON,77072,3,4111.11,3,12333.32,0,3,0,0,0,3,7430.56,4645.81,1494.0,1290.75,2,1,0,0,808af80f-ffbe-45fc-8c6d-80b1d82f780a
1439,TX,Harris (County),HOUSTON,77073,3,127.94,2,383.81,1,1,0,0,0,1,2467.81,383.81,2084.0,0.0,1,0,0,0,14035454-63ab-4e4d-be13-74b715edc937
1439,TX,Harris (County),HOUSTON,77074,2,0.0,1,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,fed66ff0-9204-45ee-b92e-2bf4b11e7276
1439,TX,Harris (County),HOUSTON,77075,1,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,196d6fb7-f64f-438e-ae78-6cc2ad559bcd
