disasterNumber,applicantId,state,applicantName,addressLine1,addressLine2,city,zipCode,hash,lastRefresh,id
1763,000-UOE95-08,Iowa,IA DNR/WILD LIFE BUREAU,"260 MULBERRY,    SUITE 3",,WAPELLO,52653-0000,17720179b7df71fceb4d088fe74ba26733da91be,2025-07-20T15:03:00.489Z,42c01b88-17c1-428d-9003-1e53dd31b34d
1545,000-UR06H-00,Florida,"TRI-COUNTY ELECTRIC COOPERATIVE, INC.",2862 W US 90,,MADISON,32340-0000,95fa1a25838b6c70853eeb49d299c0b4fa8d141b,2025-07-20T15:03:00.489Z,8d7d91fb-72bd-417d-b739-6ff5787afca8
1561,001-25175-00,Florida,"GAINESVILLE, CITY OF",200 EAST UNIVERSITY AVENUE,,GAINESVILLE,32602-0000,9218414e4ba9c1cde64823259f30c43697c9bab2,2025-07-20T15:03:00.489Z,286ce635-30d2-4ab9-88b6-3cdf1fca6a32
4238,171-42842-00,Missouri,LINCOLN (TOWNSHIP OF),36602 Cottonwood Trl.,,Unionville,63565-0000,093487e60b9de2087414d077dd29425e006c0e08,2025-07-20T15:03:00.489Z,3c491b0c-40d6-4f0a-af32-ccf3efa357c7
1971,055-U5CX0-00,Alabama,SOUTHSIDE WATER WORKS & SEWER BOARD,3001 Hwy 77,,Southside,35907-0000,6dd910f466561ab1f7dd333bf8f7dc19da746470,2025-07-20T15:03:00.489Z,fff78046-4433-4fcd-80a0-64f7829d1948
4021,037-99037-00,New Jersey,SUSSEX (COUNTY),39 High Street,,Sussex,07860-0000,833e7344275c16bd0d859641b3dec9c1ea65661e,2025-07-20T15:03:00.489Z,d1425176-becb-4419-b13e-8e6a4e8ef4a1
4238,213-07966-00,Missouri,BRANSON,"110 W Maddux, Suite 200",,Branson,65616-0000,ac7bbe4b2a64c0f61d9207857c1f43511e71ff25,2025-07-20T15:03:00.489Z,900c93eb-8785-4dc4-ab72-12c92be8b311
4021,007-45510-00,New Jersey,MERCHANTVILLE,1 W. Maple Avenue,,Merchantville,08109-0000,3d1908df1e57b4ab92ede808054027be7e625513,2025-07-20T15:03:00.489Z,ecd53432-b94b-4247-8c79-bc280f240796
4174,121-56540-00,Arkansas,POCAHONTAS,410 North Marr Street,,Pocahontas,72455-0000,89e43f9363f264c29218168f7d9f4cbabcb5a846,2025-07-20T15:03:00.489Z,ded5be17-dc34-4793-b61d-5298ed92d6f1
4236,101-00B3E-00,West Virginia,WEBSTER SPRINGS PUBLIC DIST,38 Clean Water Lane,,Webster Springs,26288-0000,bbded4c626f3806601dceda9f20f0e8745fc4b83,2025-07-20T15:03:00.489Z,8d6678ac-7fa7-437e-82b1-245a21f450f3
4021,037-69690-00,New Jersey,SPARTA (TOWNSHIP OF),65 Main Street,,Sparta,07871-0000,9a47503a1e92bb32c6a5df832da9e8c4e79e295a,2025-07-20T15:03:00.489Z,1b44ef80-8725-4fd2-b097-1ba59a0453ab
4028,005-49970-00,Massachusetts,NORTON (TOWN OF),70 East Main Street,,Norton,02766-0000,1b7c92594f7ec597a9fa54d4c8c574c0034d3226,2025-07-20T15:03:00.489Z,c9264490-f375-4d2f-ac8b-ebfdb7cf897d
4021,023-UEWNP-00,New Jersey,GREATER BRUNSWICK CHARTER SCHOOL,429 Joyce Kilmer Avenue,,New Brunswick,08901-0000,4f5719eb035a881183e1287eb449155a552b7e8a,2025-07-20T15:03:00.489Z,7f1c4719-1d19-4fa2-a0b3-4688e8b5d23e
4021,005-68610-00,New Jersey,SOUTHAMPTON (TOWNSHIP OF),5 Retreat Road,,Southampton,08088-0000,89bbb0a9bb359ddc7218125e74f10cc4db9c1a9c,2025-07-20T15:03:00.489Z,4cdbbef4-ace3-4c0b-a2f9-e29adda4322f
1561,049-04302-00,Florida,HARDEE COUNTY SHERIFF,900 EAST SUMMIT STREET,,Wauchula,33873-0000,71c8192ee5cb8aed6604d6b5f88fcb99b1b143dd,2025-07-20T15:03:00.489Z,0825b0bf-d1e6-415f-998a-3a62cf0808e7
4304,025-02675-00,Kansas,ASHLAND,703 Main Street,,Ashland,67831-0000,f1c42edb5194c55596e6b5abb4ed8ebc65a84249,2025-07-20T15:03:00.489Z,5bbbe67d-5c0a-43df-827b-cf61458de467
1763,033-U1LIS-00,Iowa,MERCY MEDICAL CENTER NORTH IOWA,1000 4TH STREET SOUTHWEST,,MASON CITY ,50401-0000,8af6fe8783d7c73a71156a87c0cf05d5e9fb42b6,2025-07-20T15:03:00.489Z,f9b6581a-c634-4280-9af2-c656264906d0
1650,095-61588-00,New York,"RICHMONDVILLE, VILLAGE OF",295  MAIN ST,,RICHMONDVILLE,12149-0000,e21cde98d6beb07b2edda5578ae6ecc814c12350,2025-07-20T15:03:00.489Z,74d7d63d-bfff-4b53-a7e0-c3e2f8495711
1545,086-03275-00,Florida,"BAL HARBOUR, VILLAGE OF",655 NINETY-SIXTH STREET,,BAL HARBOUR,33154-0000,a8c2b09affe36cf2705877ce60d583f3335fe1ae,2025-07-20T15:03:00.489Z,d315304b-2a59-457e-9071-2c0642a40bbb
4021,015-59070-00,New Jersey,PITMAN,110 South Broadway,,Pitman,08071-0000,81eb7b7aa0adad755ca9938416c044a3b85934c4,2025-07-20T15:03:00.489Z,d1c637c5-b716-43ba-b8c7-bd6fc2d5e255
4021,027-U53PM-00,New Jersey,BUDD LAKE FIRE DEPARTMENT #1,378 Route 46,,Morris,07824-0000,3428f089e5be9db046b1496651f78a017621dd37,2025-07-20T15:03:00.489Z,2356d8a4-5674-4ea9-9546-304a9a171014
4304,000-U2X15-00,Kansas,"MIDWEST ENERGY, INC.",1330 Canterbury,,Hays,67601-0000,8c300d48d47961a954392779da98bb3ca6b0e1aa,2025-07-20T15:03:00.489Z,12381c81-78a3-43b4-9b41-d8a3a6315d7a
4022,017-UX2VR-00,Vermont,ORANGE COUNTY SHERIFF DEPARTMENT,11 VT RTE 113,,Chelsea,05038-0000,b5139c4c35a8e8e72f838a9889978d2ab82de281,2025-07-20T15:03:00.489Z,07a0fb70-a326-48b9-9526-4d26cd2c318b
4028,023-09000-00,Massachusetts,BROCKTON,940 Belmont Street,,Brockton,02301-0000,37bdbeb9c7a2af119f021ef291003c71c04b0450,2025-07-20T15:03:00.489Z,9f46a0c5-8cd5-4424-b8b4-1c68d69738aa
1967,003-UZ6XE-00,Hawaii,HONOLULU CUSTOMER SERVICES DEPARTMENT,550 South King Street,,Honolulu,96813-0000,853c5621fe845b9e34fdfb5deb4f10ea76fabef0,2025-07-20T15:03:00.489Z,48c5d4ea-a613-427f-abdf-5bfe38303e72
4022,027-00A8C-00,Vermont,CHESTER ANDOVER ELEMENTARY SCH,72 Main Street,,Chester,05143-0000,68e7924a00c233252b9852fc1fbef2434b20d4a5,2025-07-20T15:03:00.489Z,ef6a1370-44f2-40c8-a774-650900c27c08
4028,003-04543-00,Massachusetts,DALTON FIRE DISTRICT,20 Flansburg Ave.,,Dalton,01226-0000,ac31917e703227e4a8e085ce1b589b83381dda92,2025-07-20T15:03:00.489Z,add60b40-acda-430a-a924-bd9703611288
4021,031-76730-00,New Jersey,WANAQUE (WANAQUE-MIDVALE),579 Ringwood Avenue,,Wanaque,07465-0000,576c2d5f5a4483dc0d70c2f9fd9118f464282f0a,2025-07-20T15:03:00.489Z,dec632cc-6b34-4863-84af-8563f7c21d6d
4021,003-63360-00,New Jersey,RIVER EDGE (RIVERSIDE),705 Kinderkamack Road,,River Edge,07661-0000,b35b44dc0545e361482d3502342ce468f7924401,2025-07-20T15:03:00.489Z,33d3c559-ea85-420e-983d-02e9c8858daa
4021,019-06FC6-00,New Jersey,STOCKTON FIRE DEPT,9 Mill Street,,Stockton,08559-0000,c7e6c6ceea7fa44962f2e97a56516ba93efd1ac3,2025-07-20T15:03:00.489Z,d4852b1e-2562-4cb5-ba94-313d2b1cb15d
4021,035-07720-00,New Jersey,BRIDGEWATER (TOWNSHIP OF),100 Commons Way,,"Bridgewater , Township of",08807-0000,e1798da916de7c3bd98bfbfb42514a6ddd8aac37,2025-07-20T15:03:00.489Z,441bed5a-e276-4c88-9934-ffb3dbf69c26
4026,019-12900-00,New Hampshire,CLAREMONT,100 Broad St,,Claremont,03743-0000,5750e58e0a540d402513e0c9593d86644f79b726,2025-07-20T15:03:00.489Z,d206ec33-1cb8-423a-83be-644a7972f9f9
4031,007-U1796-00,New York,PROSPECT TERRACE FIRE COMPANY,382 Prospect Street,,Binghamton,13905-1810,5b8a8d3ecfc75856c41360846c9f2e73c06d3595,2025-07-20T15:03:00.489Z,11e961c5-d068-4a16-a4de-e99a8d22b443
4261,003-01FAC-00,Maryland,ANNE ARUNDEL CENTRAL SVC DEPT,2660 Riva Road,,Annapolis,21401-0000,61f0b0c31269058f4f307e7ff340d347470cf9cf,2025-07-20T15:03:00.489Z,65c28c28-74a4-4995-a322-644a210f7b72
4250,215-36170-00,Missouri,JACKSON (TOWNSHIP OF),P O Box 147,,Raymondville,65555-0000,44a6f8721e0aa33da67467c2659b82443bdd0689,2025-07-20T15:03:00.489Z,f1fdc624-06b3-4f54-921c-0f308479ff02
4264,013-U5LI2-00,New Jersey,JOB HAINES HOME,250Bloomfield Avenue,,Bloomfield,07003-0000,b4e4d06bd747a3f02a3b738b2cc68dc432e3c29b,2025-07-20T15:03:00.489Z,e957927d-8304-4657-9039-d21d0a44ee4f
